City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,21.17,82,0,2.57,US,1689050325
1,kudymkar,59.0173,54.656,15.26,93,100,4.63,RU,1689050560
2,adamstown,-25.066,-130.1015,21.5,61,100,4.47,PN,1689050326
3,puerto natales,-51.7236,-72.4875,-0.63,86,100,1.17,CL,1689050324
4,chonchi,-42.6128,-73.8092,1.73,96,13,0.84,CL,1689050561
5,tiksi,71.6872,128.8694,13.82,55,100,6.81,RU,1689050335
6,port mathurin,-19.6833,63.4167,23.86,66,95,7.54,MU,1689050331
7,tromso,69.6496,18.957,11.01,87,0,1.03,NO,1689050561
8,vadso,70.0744,29.7487,20.49,72,0,3.6,NO,1689050388
9,solnechnyy,50.7214,136.6319,26.05,27,41,3.18,RU,1689050561
10,port-aux-francais,-49.35,70.2167,2.36,65,100,13.55,TF,1689050325
11,shiguai,40.7058,110.2856,31.27,27,83,4.46,CN,1689050338
12,lorengau,-2.0226,147.2712,27.95,80,83,5.06,PG,1689050561
13,utrik,11.2278,169.8474,27.94,79,50,5.19,MH,1689050329
14,znamenskoye,57.1281,73.8282,25.96,70,87,1.73,RU,1689050561
15,erenhot,43.6475,111.9767,26.73,38,100,3.36,CN,1689050561
16,thompson,55.7435,-97.8558,13.09,67,20,2.57,CA,1689050339
17,iqaluit,63.7506,-68.5145,4.85,100,100,1.03,CA,1689050324
18,ushuaia,-54.8,-68.3,0.81,80,0,2.06,AR,1689050328
19,carnarvon,-24.8667,113.6333,21.25,33,0,4.7,AU,1689050361
20,newman,37.3138,-121.0208,26.99,36,0,1.79,US,1689050395
21,albany,42.6001,-73.9662,19.01,85,100,0.89,US,1689050333
22,sabang,5.8933,95.3214,27.73,75,100,9.11,ID,1689050562
23,invercargill,-46.4,168.35,7.37,86,65,2.52,NZ,1689050331
24,grytviken,-54.2811,-36.5092,-4.65,88,69,3.24,GS,1689050327
25,boende,-0.2167,20.8667,21.63,89,91,0.69,CD,1689050562
26,edinburgh of the seven seas,-37.0676,-12.3116,15.53,93,100,15.41,SH,1689050325
27,manokwari,-0.8667,134.0833,28.68,73,74,5.78,ID,1689050562
28,ribeira grande,38.5167,-28.7,20.99,97,100,1.34,PT,1689050327
29,waitangi,-43.9535,-176.5597,9.9,92,82,0.45,NZ,1689050331
30,korsakov,46.6328,142.7813,18.91,96,100,2.33,RU,1689050563
